Port,Header size,Header,Data size,Bit start,Bit end,Type,Field name,Field description,Group name,Group description,Category name,Category description,Access,Multiplier,Opt0,Val0,Opt1,Val1,Opt2,Val2,Opt3,Val3,Opt4,Val4,Opt5,Val5,Opt6,Val6,Opt7,Val7,Opt8,Val8
100,1,0x00,8,0,63,hexstring,device_eui,DevEUI,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x01,8,0,63,hexstring,app_eui,AppEUI,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x02,16,0,127,hexstring,app_key,AppKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x03,4,0,31,hexstring,device_address,DevAddr,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x04,16,0,127,hexstring,network_session_key,NwkSKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x05,16,0,127,hexstring,app_session_key,AppSKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x10,2,7,7,unsigned,loramac_otaa,Join Mode,loramac_join_mode,LoRaMAC join mode,loramac,LoRaMAC Configuration Registers,RW,1,ABP,0,OTAA,1,,,,,,,,,,,,,,
100,1,0x11,2,4,7,unsigned,loramac_confirm_mode,LoRaMAC class,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Class A ,0,Class C ,12,,,,,,,,,,,,,,
100,1,0x11,2,8,8,unsigned,loramac_networks,Unconfirmed/Confirmed UL,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Unconfirmed,0,Confirmed,1,,,,,,,,,,,,,,
100,1,0x11,2,10,10,unsigned,loramac_duty_cycle,Disable/Enable Duty Cycle,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,1,0x11,2,11,11,unsigned,loramac_adr,Disable/Enable ADR,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,1,0x12,2,0,3,unsigned,loramac_dr_number,Default DR number and TX power,loramac_dr_tx_power,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
