Port,Header,Data size,Bit start,Bit end,Type,Field count,Field name,Group name,Category name,Access,Coefficient
100,0x10,2,7,7,unsigned,1,join_mode,,loramac,RW,1
100,0x11,2,0,0,unsigned,4,confirm_mode,options,loramac,RW,1
100,0x11,2,1,1,unsigned,4,networks,options,loramac,RW,1
100,0x11,2,2,2,unsigned,4,duty_cycle,options,loramac,RW,1
100,0x11,2,3,3,unsigned,4,adr,options,loramac,RW,1
100,0x12,2,0,3,unsigned,2,dr_number,dr_tx_power,loramac,RW,1
100,0x12,2,8,11,unsigned,2,tx_power,dr_tx_power,loramac,RW,1
100,0x13,5,0,31,unsigned,1,frequency,rx2,loramac,RW,1
100,0x20,4,0,31,unsigned,1,seconds_per_core_tick,,ticks_config,RW,1
100,0x21,2,0,15,unsigned,1,ticks_per_battery,,ticks_config,RW,1
100,0x22,2,0,15,unsigned,1,ticks_per_accelerometer,,ticks_config,RW,1
100,0x24,2,0,15,unsigned,1,ticks_per_ble,,ticks_config,RW,1
100,0x25,2,0,15,unsigned,1,ticks_per_temperature,,ticks_config,RW,1
100,0x2A,2,0,0,unsigned,5,battery_voltage_report,pb_mode,pb_config,RW,1
100,0x2A,2,1,1,unsigned,5,acceleration_vector_report,pb_mode,pb_config,RW,1
100,0x2A,2,2,2,unsigned,5,temperature_report,pb_mode,pb_config,RW,1
100,0x2A,2,3,3,unsigned,5,ble_report,pb_mode,pb_config,RW,1
100,0x2A,2,15,15,unsigned,5,event_type,pb_mode,pb_config,RW,1
100,0x2B,1,0,3,unsigned,2,m_value,pb_event_type1,pb_config,RW,1
100,0x2B,1,4,7,unsigned,2,n_value,pb_event_type1,pb_config,RW,1
100,0x2C,1,0,3,unsigned,1,t_value,pb_event_type2,pb_config,RW,1
100,0x40,1,0,0,unsigned,4,xaxis_enabled,accelerometer_mode,accelerometer_config,RW,1
100,0x40,1,1,1,unsigned,4,yaxis_enabled,accelerometer_mode,accelerometer_config,RW,1
100,0x40,1,2,2,unsigned,4,zaxis_enabled,accelerometer_mode,accelerometer_config,RW,1
100,0x40,1,7,7,unsigned,4,poweron,accelerometer_mode,accelerometer_config,RW,1
100,0x41,1,0,2,unsigned,2,sample_rate,accelerometer_sensitivity,accelerometer_config,RW,1
100,0x41,1,4,5,unsigned,2,measurement_range,accelerometer_sensitivity,accelerometer_config,RW,1
100,0x42,2,0,15,unsigned,1,acceleration_event_threshold_count,,accelerometer_config,RW,1
100,0x43,2,0,15,unsigned,1,acceleration_event_threshold_period,,accelerometer_config,RW,1
100,0x44,2,0,15,unsigned,1,acceleration_event_threshold,,accelerometer_config,RW,1
100,0x45,2,0,15,unsigned,1,acceleration_event_grace_period,,accelerometer_config,RW,1
100,0x46,1,0,0,unsigned,2,acceleration_alarm,acceleration_event_tx,accelerometer_config,RW,1
100,0x46,1,1,1,unsigned,2,ble_scan_report,acceleration_event_tx,accelerometer_config,RW,1
100,0x50,1,0,6,unsigned,2,num_reported_devices,ble_mode,ble_config,RW,1
100,0x50,1,7,7,unsigned,2,repetition_enabled,ble_mode,ble_config,RW,1
100,0x51,2,0,7,unsigned,2,periodic,ble_scan_duration,ble_config,RW,1
100,0x51,2,8,15,unsigned,2,event_based,ble_scan_duration,ble_config,RW,1
100,0x52,2,0,15,unsigned,1,ble_scan_interval,,ble_config,RW,1
100,0x53,2,0,15,unsigned,1,ble_scan_window,,ble_config,RW,1
100,0x54,9,0,23,unsigned,3,oui,bd_addr_range_0,ble_config,RW,1
100,0x54,9,24,47,unsigned,3,lap_start,bd_addr_range_0,ble_config,RW,1
100,0x54,9,48,71,unsigned,3,lap_end,bd_addr_range_0,ble_config,RW,1
100,0x55,9,0,23,unsigned,3,oui,bd_addr_range_1,ble_config,RW,1
100,0x55,9,24,47,unsigned,3,lap_start,bd_addr_range_1,ble_config,RW,1
100,0x55,9,48,71,unsigned,3,lap_end,bd_addr_range_1,ble_config,RW,1
100,0x56,9,0,23,unsigned,3,oui,bd_addr_range_2,ble_config,RW,1
100,0x56,9,24,47,unsigned,3,lap_start,bd_addr_range_2,ble_config,RW,1
100,0x56,9,48,71,unsigned,3,lap_end,bd_addr_range_2,ble_config,RW,1
100,0x57,9,0,23,unsigned,3,oui,bd_addr_range_3,ble_config,RW,1
100,0x57,9,24,47,unsigned,3,lap_start,bd_addr_range_3,ble_config,RW,1
100,0x57,9,48,71,unsigned,3,lap_end,bd_addr_range_3,ble_config,RW,1
100,0x60,4,0,31,unsigned,1,temperature_sample_period_idle,,temperature_threshold_config,RW,1
100,0x61,4,0,31,unsigned,1,temperature_sample_period_active,,temperature_threshold_config,RW,1
100,0x62,4,0,7,unsigned,2,low,temperature_threshold,temperature_threshold_config,RW,1
100,0x62,4,8,15,unsigned,2,high,temperature_threshold,temperature_threshold_config,RW,1
100,0x63,1,0,0,unsigned,1,temperature_thresholds_enabled,,temperature_threshold_config,RW,1
100,0x70,2,5,5,unsigned,3,app_configuration,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x70,2,6,6,unsigned,3,lora_configuration,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x70,2,8,8,unsigned,3,restart_sensor,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x71,7,0,7,unsigned,7,app_major_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,8,15,unsigned,7,app_minor_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,16,23,unsigned,7,app_revision,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,24,31,unsigned,7,loramac_major_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,32,39,unsigned,7,loramac_minor_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,40,47,unsigned,7,loramac_revision,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,48,55,unsigned,7,region,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x72,1,0,7,unsigned,1,configuration_factory_reset,,sensor_cmd_ctrl_reg,W,1
