Port,Header,Data size,Bit start,Bit end,Type,Field count,Field name,Group name,Category name,Access,Coefficient
100,0x00 0x93,1,0,0,unsigned,1,energy_consumption_push_button,,transducer_frame_formats,R,1
100,0x01 0x93,1,0,0,unsigned,1,energy_consumption_reset_button,,transducer_frame_formats,R,1
100,0x02 0x93,1,0,0,unsigned,1,energy_consumption_status_button,,transducer_frame_formats,R,1
100,0x03 0x93,1,0,0,unsigned,1,voltmeter_push_button,,transducer_frame_formats,R,1
100,0x04 0x93,1,0,0,unsigned,1,ammeter_push_button,,transducer_frame_formats,R,1
100,0x05 0x93,1,0,0,unsigned,1,realpower_push_button,,transducer_frame_formats,R,1
100,0x06 0x93,1,0,0,unsigned,1,apparentpower_push_button,,transducer_frame_formats,R,1
100,0x07 0x93,1,0,0,unsigned,1,powerfactor_push_button,,transducer_frame_formats,R,1
100,0x00 0x01,1,0,7,unsigned,1,relay_control,,transducer_frame_formats,R,1
100,0x08 0x93,1,0,0,unsigned,1,realstatus_push_button,,transducer_frame_formats,R,1
100,0x00,8,0,63,hexstring,1,device_eui,,lorawan,R,1
100,0x01,8,0,63,hexstring,1,app_eui,,lorawan,R,1
100,0x02,16,0,127,hexstring,1,app_key,,lorawan,R,1
100,0x03,4,0,31,hexstring,1,device_address,,lorawan,R,1
100,0x04,16,0,127,hexstring,1,network_session_key,,lorawan,R,1
100,0x05,16,0,127,hexstring,1,app_session_key,,lorawan,R,1
100,0x10,2,7,7,unsigned,1,loramac_otaa,,loramac,RW,1
100,0x11,2,0,0,unsigned,4,loramac_confirm_mode,loramac_opts,loramac,RW,1
100,0x11,2,1,1,unsigned,4,loramac_networks,loramac_opts,loramac,RW,1
100,0x11,2,2,2,unsigned,4,loramac_duty_cycle,loramac_opts,loramac,RW,1
100,0x11,2,3,3,unsigned,4,loramac_adr,loramac_opts,loramac,RW,1
100,0x12,2,0,3,unsigned,2,loramac_dr_number,loramac_dr_tx_power,loramac,RW,1
100,0x12,2,8,11,unsigned,2,loramac_tx_power,loramac_dr_tx_power,loramac,RW,1
100,0x13,5,0,31,unsigned,2,loramac_rx2_frequency,loramac_rx2,loramac,RW,1
100,0x13,5,32,39,unsigned,2,loramac_rx2_dr,loramac_rx2,loramac,RW,1
100,0x19,2,0,15,unsigned,1,loramac_net_id_msb,,loramac,RW,1
100,0x1A,2,0,15,unsigned,1,loramac_net_id_lsb,,loramac,RW,1
100,0x20,4,0,31,unsigned,1,tick_period,,periodic_reporting_config,RW,1
100,0x21,2,0,15,unsigned,1,energy_period,,periodic_reporting_config,RW,1
100,0x70,2,5,5,unsigned,3,app_configuration,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x70,2,6,6,unsigned,3,lora_configuration,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x70,2,8,8,unsigned,3,restart_sensor,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x71,7,0,7,unsigned,7,app_major_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,8,15,unsigned,7,app_minor_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,16,23,unsigned,7,app_revision,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,24,31,unsigned,7,loramac_major_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,32,39,unsigned,7,loramac_minor_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,40,47,unsigned,7,loramac_revision,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,48,55,unsigned,7,region,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x72,1,0,7,unsigned,1,configuration_factory_reset,,sensor_cmd_ctrl_reg,W,1
