Port,Header,Data size,Bit start,Bit end,Type,Field count,Field name,Group name,Category name,Access,Coefficient
100,0x00,8,0,63,hexstring,1,device_eui,,lorawan,R,1
100,0x01,8,0,63,hexstring,1,app_eui,,lorawan,R,1
100,0x02,16,0,127,hexstring,1,app_key,,lorawan,R,1
100,0x03,4,0,31,hexstring,1,device_address,,lorawan,R,1
100,0x04,16,0,127,hexstring,1,network_session_key,,lorawan,R,1
100,0x05,16,0,127,hexstring,1,app_session_key,,lorawan,R,1
100,0x10,2,7,7,unsigned,1,loramac_otaa,loramac_join_mode,loramac,RW,1
100,0x11,2,4,7,unsigned,4,loramac_confirm_mode,loramac_opts,loramac,RW,1
100,0x11,2,8,8,unsigned,4,loramac_networks,loramac_opts,loramac,RW,1
100,0x11,2,10,10,unsigned,4,loramac_duty_cycle,loramac_opts,loramac,RW,1
100,0x11,2,11,11,unsigned,4,loramac_adr,loramac_opts,loramac,RW,1
100,0x12,2,0,3,unsigned,2,loramac_dr_number,loramac_dr_tx_power,loramac,RW,1
100,0x12,2,8,11,unsigned,2,loramac_tx_power,loramac_dr_tx_power,loramac,RW,1
100,0x13,5,0,31,unsigned,2,loramac_rx2_frequency,loramac_rx2,loramac,RW,1
100,0x13,5,32,39,unsigned,2,loramac_rx2_dr,loramac_rx2,loramac,RW,1
100,0x19,2,0,15,unsigned,1,loramac_net_id_msb,,loramac,RW,1
100,0x1A,2,0,15,unsigned,1,loramac_net_id_lsb,,loramac,RW,1
100,0x20,4,0,31,unsigned,1,tick_seconds,,ticks_config,RW,1
100,0x21,2,0,15,unsigned,1,tick_battery,,ticks_config,RW,1
100,0x22,2,0,15,unsigned,1,tick_temperature,,ticks_config,RW,1
100,0x23,2,0,15,unsigned,1,tick_relative_humidity,,ticks_config,RW,1
100,0x24,2,0,15,unsigned,1,tick_light,,ticks_config,RW,1
100,0x25,2,0,15,unsigned,1,tick_input1,,ticks_config,RW,1
100,0x26,2,0,15,unsigned,1,tick_input2,,ticks_config,RW,1
100,0x27,2,0,15,unsigned,1,tick_input5,,ticks_config,RW,1
100,0x28,2,0,15,unsigned,1,tick_acceleration,,ticks_config,RW,1
100,0x29,2,0,15,unsigned,1,tick_mcu_temp,,ticks_config,RW,1
100,0x30,4,0,31,unsigned,1,temperature_relative_humidity_idle,,threshold_tx_cfg,RW,1
100,0x31,4,0,31,unsigned,1,temperature_relative_humidity_active,,threshold_tx_cfg,RW,1
100,0x32,2,0,7,signed,2,temperature_high_threshold,amb_temp_threshold,threshold_tx_cfg,RW,1
100,0x32,2,8,15,signed,2,temperature_low_threshold,amb_temp_threshold,threshold_tx_cfg,RW,1
100,0x33,1,0,0,unsigned,1,temperature_threshold_enable,,threshold_tx_cfg,RW,1
100,0x34,2,0,7,unsigned,2,relative_humidity_high_threshold,amb_rh_threshold,threshold_tx_cfg,RW,1
100,0x34,2,8,15,unsigned,2,relative_humidity_low_threshold,amb_rh_threshold,threshold_tx_cfg,RW,1
100,0x35,1,0,0,unsigned,1,relative_humidity_threshold_enable,,threshold_tx_cfg,RW,1
100,0x36,4,0,31,unsigned,1,input12_sample_period_idle,,threshold_tx_cfg,RW,1
100,0x37,4,0,31,unsigned,1,input12_sample_period_active,,threshold_tx_cfg,RW,1
100,0x38,4,0,15,unsigned,2,input1_frequency_high_threshold,input1_threshold,threshold_tx_cfg,RW,1
100,0x38,4,16,31,unsigned,2,input1_frequency_low_threshold,input1_threshold,threshold_tx_cfg,RW,1
100,0x39,1,0,0,unsigned,1,input1_threshold_enable,,threshold_tx_cfg,RW,1
100,0x3A,4,0,15,unsigned,2,input2_voltage_high_threshold,input2_threshold,threshold_tx_cfg,RW,1
100,0x3A,4,16,31,unsigned,2,input2_voltage_low_threshold,input2_threshold,threshold_tx_cfg,RW,1
100,0x3B,1,0,0,unsigned,1,input2_threshold_enable,,threshold_tx_cfg,RW,1
100,0x3C,4,0,31,unsigned,1,input5_sample_period_idle,,threshold_tx_cfg,RW,1
100,0x3D,4,0,31,unsigned,1,input5_sample_period_active,,threshold_tx_cfg,RW,1
100,0x3E,4,0,15,unsigned,2,input5_frequency_high_threshold,input5_threshold,threshold_tx_cfg,RW,1
100,0x3E,4,16,31,unsigned,2,input5_frequency_low_threshold,input5_threshold,threshold_tx_cfg,RW,1
100,0x3F,1,0,0,unsigned,1,input5_threshold_enable,,threshold_tx_cfg,RW,1
100,0x40,4,0,31,unsigned,1,mcu_temperature_sample_period_idle,,mcu_temp,RW,1
100,0x41,4,0,31,unsigned,1,mcu_temperature_sample_period_active,,mcu_temp,RW,1
100,0x42,2,0,7,unsigned,2,mcu_temperature_high_threshold,mcu_temp_threshold,mcu_temp,RW,1
100,0x42,2,8,15,unsigned,2,mcu_temperature_low_threshold,mcu_temp_threshold,mcu_temp,RW,1
100,0x43,1,0,0,unsigned,1,mcu_temp_threshold_enable,,mcu_temp,RW,1
100,0x48,1,0,0,unsigned,1,light_interrupt_enabled,,als_cfg,RW,1
100,0x49,4,0,31,unsigned,1,light_intencity_high_threshold,,als_cfg,RW,1
100,0x4A,4,0,31,unsigned,1,light_intencity_low_threshold,,als_cfg,RW,1
100,0x4B,1,0,7,unsigned,1,light_threshold_timer,,als_cfg,RW,1
100,0x4C,4,0,31,unsigned,1,light_sample_period_active,,als_cfg,RW,1
100,0x4D,1,0,0,unsigned,2,light_alarm,als_values_tx,als_cfg,RW,1
100,0x4D,1,0,0,unsigned,2,light_intensity,als_values_tx,als_cfg,RW,1
100,0x50,1,0,0,unsigned,2,acceleration_impact_threshold_enable,accel_mode,accel_cfg,RW,1
