Port,Header,Data size,Bit start,Bit end,Type,Field count,Field name,Group name,Category name,Coefficient,Access
100,0x00,8,0,63,hexstring,1,deviceEUI,,lorawan,1,R
100,0x01,8,0,63,hexstring,1,appEUI,,lorawan,1,R
100,0x02,16,0,127,hexstring,1,appKey,,lorawan,1,R
100,0x03,4,0,31,hexstring,1,deviceAddress,,lorawan,1,R
100,0x04,16,0,127,hexstring,1,networkSessionKey,,lorawan,1,R
100,0x05,16,0,127,hexstring,1,appSessionKey,,lorawan,1,R
100,0x10,2,7,7,unsigned,1,loramacOTAA,loramacJoinMode,loramac,1,RW
100,0x11,2,4,7,unsigned,4,loramacConfirmMode,loramacOpts,loramac,1,RW
100,0x11,2,8,8,unsigned,4,loramacNetworks,loramacOpts,loramac,1,RW
100,0x11,2,10,10,unsigned,4,loramacDutyCycle,loramacOpts,loramac,1,RW
100,0x11,2,11,11,unsigned,4,loramacADR,loramacOpts,loramac,1,RW
100,0x12,2,0,3,unsigned,2,loramacDRnumber,loramacDRtxPower,loramac,1,RW
100,0x12,2,8,11,unsigned,2,loramacTxPower,loramacDRtxPower,loramac,1,RW
100,0x13,5,0,31,unsigned,2,loramacRx2Frequency,loramacRx2,loramac,1,RW
100,0x13,5,32,39,unsigned,2,loramacRx2DR,loramacRx2,loramac,1,RW
100,0x19,2,0,15,unsigned,1,loramacNetIdMSB,,loramac,1,RW
100,0x1A,2,0,15,unsigned,1,loramacNetIdLSB,,loramac,1,RW
100,0x20,4,0,31,unsigned,1,tickSeconds,,tx_cfg,1,RW
100,0x21,2,0,15,unsigned,1,tickBattery,,tx_cfg,1,RW
100,0x22,2,0,15,unsigned,1,tickMCUtemperature,,tx_cfg,1,RW
100,0x23,2,0,15,unsigned,1,tickRoomStatus,,tx_cfg,1,RW
100,0x24,3,0,23,unsigned,1,room_available_color,,hardware_config,1,RW
100,0x25,3,0,23,unsigned,1,room_occupied_color,,hardware_config,1,RW
