Port,Header,Data size,Bit start,Bit end,Type,Field count,Field name,Group name,Category name,Access,Coefficient
10,0x01 0x01,1,0,7,unsigned,1,output_1,,change_output_states,RW,1
10,0x02 0x01,1,0,7,unsigned,1,output_2,,change_output_states,RW,1
100,0x00,0,0,0,hexstring,1,device_eui,,lorawan,R,1
100,0x01,0,0,0,hexstring,1,app_eui,,lorawan,R,1
100,0x02,0,0,0,hexstring,1,app_key,,lorawan,R,1
100,0x03,0,0,0,hexstring,1,device_address,,lorawan,R,1
100,0x04,0,0,0,hexstring,1,network_session_key,,lorawan,R,1
100,0x05,0,0,0,hexstring,1,app_session_key,,lorawan,R,1
100,0x10,2,7,7,unsigned,1,loramac_otaa,loramac_join_mode,loramac,RW,1
100,0x11,2,4,7,unsigned,4,loramac_class,loramac_opts,loramac,RW,1
100,0x11,2,8,8,unsigned,4,loramac_confirmed_uplink,loramac_opts,loramac,RW,1
100,0x11,2,10,10,unsigned,4,loramac_duty_cycle,loramac_opts,loramac,RW,1
100,0x11,2,11,11,unsigned,4,loramac_adr,loramac_opts,loramac,RW,1
100,0x12,2,0,3,unsigned,2,loramac_dr_number,loramac_dr_tx_power,loramac,RW,1
100,0x12,2,8,11,unsigned,2,loramac_tx_power,loramac_dr_tx_power,loramac,RW,1
100,0x13,5,0,31,unsigned,2,loramac_rx2_frequency,loramac_rx2,loramac,RW,1
100,0x13,5,32,39,unsigned,2,loramac_rx2_dr,loramac_rx2,loramac,RW,1
100,0x19,2,0,15,unsigned,1,loramac_net_id_msb,,loramac,RW,1
100,0x1A,2,0,15,unsigned,1,loramac_net_id_lsb,,loramac,RW,1
100,0x20,4,0,31,unsigned,1,tick_seconds,,ticks_config,RW,1
100,0x21,2,0,15,unsigned,1,tick_digital_input,,ticks_config,RW,1
100,0x22,2,0,15,unsigned,1,tick_temperature,,ticks_config,RW,1
100,0x23,2,0,15,unsigned,1,tick_humidity,,ticks_config,RW,1
100,0x24,2,0,15,unsigned,1,tick_input1,,ticks_config,RW,1
100,0x25,2,0,15,unsigned,1,tick_input2,,ticks_config,RW,1
100,0x26,2,0,15,unsigned,1,tick_input3,,ticks_config,RW,1
100,0x27,2,0,15,unsigned,1,tick_mcu_temperature,,ticks_config,RW,1
100,0x28,2,0,15,unsigned,1,tick_output1,,ticks_config,RW,1
