Port,Header,Data size,Bit start,Bit end,Type,Field count,Field name,Group name,Category name,Access,Coefficient
100,0x00,0,0,0,hexstring,1,device_eui,,lorawan,R,1
100,0x01,0,0,0,hexstring,1,app_eui,,lorawan,R,1
100,0x02,0,0,0,hexstring,1,app_key,,lorawan,R,1
100,0x03,0,0,0,hexstring,1,device_address,,lorawan,R,1
100,0x04,0,0,0,hexstring,1,network_session_key,,lorawan,R,1
100,0x05,0,0,0,hexstring,1,app_session_key,,lorawan,R,1
100,0x10,2,7,7,unsigned,1,loramac_otaa,loramac_join_mode,loramac,RW,1
100,0x11,2,8,8,unsigned,3,loramac_confirm_mode,loramac_opts,loramac,RW,1
100,0x11,2,10,10,unsigned,3,loramac_networks,loramac_opts,loramac,RW,1
100,0x11,2,11,11,unsigned,3,loramac_duty_cycle,loramac_opts,loramac,RW,1
100,0x12,2,0,3,unsigned,2,loramac_adr,loramac_dr_tx_power,loramac,RW,1
100,0x12,2,8,11,unsigned,2,loramac_dr_number,loramac_dr_tx_power,loramac,RW,1
100,0x13,5,0,31,unsigned,2,loramac_tx_power,loramac_rx2,loramac,RW,1
100,0x13,5,32,39,unsigned,2,loramac_rx2_frequency,loramac_rx2,loramac,RW,1
100,0x19,2,0,15,unsigned,1,loramac_rx2_dr,,loramac,RW,1
100,0x1A,2,0,15,unsigned,1,loramac_net_id_msb,,loramac,RW,1
100,0x20,4,0,31,unsigned,1,loramac_net_id_lsb,,ticks_config,RW,1
100,0x21,2,0,15,unsigned,1,tick_seconds,,ticks_config,RW,1
100,0x26,2,0,15,unsigned,1,tick_acceleration,,ticks_config,RW,1
100,0x27,2,0,15,unsigned,1,tick_mcu_temperature,,ticks_config,RW,1
100,0x30,2,0,15,unsigned,1,acceleration_impact_threshold,,accel_config,RW,1
100,0x31,2,0,15,unsigned,1,acceleration_impact_count_threshold,,accel_config,RW,1
100,0x32,1,0,0,unsigned,3,acceleration_report_alarm,value_to_transmit,accel_config,RW,1
100,0x32,1,1,1,unsigned,3,acceleration_report_magnitude,value_to_transmit,accel_config,RW,1
100,0x32,1,2,2,unsigned,3,acceleration_report_full_precision,value_to_transmit,accel_config,RW,1
100,0x33,2,0,15,unsigned,1,acceleration_impact_grace_period,,accel_config,RW,1
100,0x34,1,0,0,unsigned,2,acceleration_impact_threshold_switch,accel_modes,accel_config,RW,1
100,0x34,1,7,7,unsigned,2,accelerometer_enable,accel_modes,accel_config,RW,1
100,0x35,1,0,2,unsigned,1,transducer_sample_rate_val,,accel_config,RW,1
100,0x36,2,0,15,unsigned,1,acceleration_impact_threshold_period,,accel_config,RW,1
100,0x40,4,0,31,unsigned,1,mcu_temperature_sample_period_idle,,mcu_temp_config,RW,1
100,0x41,4,0,31,unsigned,1,mcu_temperature_sample_period_active,,mcu_temp_config,RW,1
100,0x42,2,0,7,signed,2,mcu_temperature_high_threshold,mcu_temp_threshold,mcu_temp_config,RW,1
100,0x42,2,8,15,signed,2,mcu_temperature_low_threshold,mcu_temp_threshold,mcu_temp_config,RW,1
100,0x43,1,0,7,unsigned,1,mcu_temp_threshold_enable,,mcu_temp_config,RW,1
100,0x70,2,5,5,unsigned,3,app_configuration,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x70,2,6,6,unsigned,3,lora_configuration,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x70,2,8,8,unsigned,3,restart_sensor,write_to_flash,sensor_cmd_ctrl_reg,W,1
100,0x71,7,0,7,unsigned,7,app_major_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,8,15,unsigned,7,app_minor_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,16,23,unsigned,7,app_revision,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,24,31,unsigned,7,loramac_major_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,32,39,unsigned,7,loramac_minor_version,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,40,47,unsigned,7,loramac_revision,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x71,7,48,55,unsigned,7,region,firmware_version,sensor_cmd_ctrl_reg,R,1
100,0x72,1,0,7,unsigned,1,configuration_factory_reset,,sensor_cmd_ctrl_reg,W,1
