Port,Header size,Header,Data size,Bit start,Bit end,Type,Field name,Field description,Group name,Group description,Category name,Category description,Access,Multiplier,Opt0,Val0,Opt1,Val1,Opt2,Val2,Opt3,Val3,Opt4,Val4,Opt5,Val5,Opt6,Val6,Opt7,Val7,Opt8,Val8
10,2,0x01 0x01,1,0,7,unsigned,output_1,Output 1,,,change_output_states,DL Frame Payload Values to Change Output States,RW,1,Open,0,Closed,255,,,,,,,,,,,,,,
10,2,0x02 0x01,1,0,7,unsigned,output_2,Output 2,,,change_output_states,DL Frame Payload Values to Change Output States,RW,1,Open,0,Closed,255,,,,,,,,,,,,,,
100,1,0x00,0,0,0,hexstring,device_eui,DevEUI,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x01,0,0,0,hexstring,app_eui,AppEUI,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x02,0,0,0,hexstring,app_key,AppKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x03,0,0,0,hexstring,device_address,DevAddr,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x04,0,0,0,hexstring,network_session_key,NwkSKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x05,0,0,0,hexstring,app_session_key,AppSKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x10,2,7,7,unsigned,loramac_otaa,Join Mode,loramac_join_mode,LoRaMAC join mode,loramac,LoRaMAC Configuration Registers,RW,1,ABP,0,OTAA,1,,,,,,,,,,,,,,
100,1,0x11,2,4,7,unsigned,loramac_class,LoRaMAC class,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Class A ,0,Class C ,12,,,,,,,,,,,,,,
100,1,0x11,2,8,8,unsigned,loramac_confirmed_uplink,Confirmed UL,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Unconfirmed,0,Confirmed,1,,,,,,,,,,,,,,
100,1,0x11,2,10,10,unsigned,loramac_duty_cycle,Duty Cycle,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,1,0x11,2,11,11,unsigned,loramac_adr,ADR,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,1,0x12,2,0,3,unsigned,loramac_dr_number,Default DR number,loramac_dr_tx_power,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x12,2,8,11,unsigned,loramac_tx_power,Defaul TX power,loramac_dr_tx_power,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x13,5,0,31,unsigned,loramac_rx2_frequency,Channel freq for RX2,loramac_rx2,LoRaMAC RX2,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x13,5,32,39,unsigned,loramac_rx2_dr,DR for RX2,loramac_rx2,LoRaMAC RX3,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x19,2,0,15,unsigned,loramac_net_id_msb,Net ID MSB,,,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x1A,2,0,15,unsigned,loramac_net_id_lsb,Net ID LSB,,,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x20,4,0,31,unsigned,tick_seconds,Sets the core tick in seconds for periodic events,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x21,2,0,15,unsigned,tick_digital_input,Ticks between Digital Input Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x22,2,0,15,unsigned,tick_temperature,Ticks between Temp Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x23,2,0,15,unsigned,tick_humidity,Ticks between Humidity Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x24,2,0,15,unsigned,tick_input1,Ticks between Input 1 Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x25,2,0,15,unsigned,tick_input2,Ticks between Input 2 Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x26,2,0,15,unsigned,tick_input3,Ticks between Input 3 Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x27,2,0,15,unsigned,tick_mcu_temperature,Ticks between MCU Temp Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x28,2,0,15,unsigned,tick_output1,Ticks between Output 1 Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x29,2,0,15,unsigned,tick_output2,Ticks between Output 2 Reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x2A,1,0,0,unsigned,input1_rising_edge,Rising edge,input1_mode,Input 1 mode,input1_config,Input 1 Configuration,RW,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
