port,header,data_size,bit_start,bit_end,or_80_to_write,multiple,type,parameter_name,parameter_description,group_name,group_description,category_name,category_description,access,round,coefficient,addition,opt0,val0,opt1,val1,opt2,val2,opt3,val3,opt4,val4,opt5,val5,opt6,val6,opt7,val7,opt8,val8
100,0x0A,4,31,16,1,0,hexstring,group_id,Group Tracing ID,tracing_id,Tracing ID,id_config,Identification Configuration Register,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x0A,4,15,0,1,0,hexstring,device_id,Unique Device ID,tracing_id,Tracing ID,id_config,Identification Configuration Register,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x10,2,15,15,1,0,unsigned,loramac_join_mode,Join Mode,loramac_join_mode,LoRaMAC Join Mode,loramac_config,LoRaMAC Configuration Registers,RW,,1,,ABP,0,OTAA,1,,,,,,,,,,,,,,
100,0x11,2,3,3,1,0,unsigned,adr,ADR,loramac_opts,LoRaMAC Options,loramac_config,LoRaMAC Configuration Registers,RW,,1,,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x11,2,2,2,1,0,unsigned,duty_cycle,Duty Cycle,loramac_opts,LoRaMAC Options,loramac_config,LoRaMAC Configuration Registers,RW,,1,,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x11,2,1,1,1,0,unsigned,sync_word,Sync Word,loramac_opts,LoRaMAC Options,loramac_config,LoRaMAC Configuration Registers,R,,1,,Private,0,Public,1,,,,,,,,,,,,,,
100,0x11,2,0,0,1,0,unsigned,ul_confirm_mode,UL Comfirm Mode,loramac_opts,LoRaMAC Options,loramac_config,LoRaMAC Configuration Registers,RW,,1,,Unconfirmed,0,Confirmed,1,,,,,,,,,,,,,,
100,0x12,2,11,8,1,0,unsigned,dr_number,Default DR Number,loramac_dr_tx,DR Number and Tx Power,loramac_config,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x12,2,3,0,1,0,unsigned,tx_power,Default Tx Power,loramac_dr_tx,DR Number and Tx Power,loramac_config,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x13,5,39,8,1,0,unsigned,frequency,Channel Frequency for Rx2,loramac_rx2,LoRaMAC Rx2,loramac_config,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
