port,header,data_size,bit_start,bit_end,or_80_to_write,multiple,type,parameter_name,parameter_description,group_name,group_description,category_name,category_description,access,round,coefficient,addition,opt0,val0,opt1,val1,opt2,val2,opt3,val3,opt4,val4,opt5,val5,opt6,val6,opt7,val7,opt8,val8
100,0x00,8,63,0,1,0,hexstring,device_eui,DevEUI,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,,
100,0x01,8,63,0,1,0,hexstring,app_eui,AppEUI,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,,
100,0x02,16,127,0,1,0,hexstring,app_key,AppKey,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,,
100,0x03,4,31,0,1,0,hexstring,device_address,DevAddr,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,,
100,0x04,16,127,0,1,0,hexstring,network_session_key,NwkSKey,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,,
100,0x05,16,127,0,1,0,hexstring,app_session_key,AppSKey,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,,
100,0x10,2,7,7,1,0,unsigned,join_mode,Join Mode,,,loramac,LoRaMAC Configuration,RW,,1,,ABP,0,OTAA,1,,,,,,,,,,,,,,
100,0x11,2,3,3,1,0,unsigned,adr,Unconfirmed/Confirmed UL,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,,1,,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x11,2,2,2,1,0,unsigned,duty_cycle,Disable/Enable Duty Cycle,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,,1,,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x11,2,1,1,1,0,unsigned,sync_word,Disable/Enable ADR,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,,1,,Private,0,Public,1,,,,,,,,,,,,,,
100,0x11,2,0,0,1,0,unsigned,confirm_mode,Disable/Enable ADR,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,,1,,Unconfirmed,0,Confirmed,1,,,,,,,,,,,,,,
100,0x12,2,11,8,1,0,unsigned,dr_number,Default DR number and TX power,loramac_dr_tx,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x12,2,3,0,1,0,unsigned,tx_power,Default DR number and TX power,loramac_dr_tx,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x13,5,39,8,1,0,unsigned,frequency,Channel freq for RX2,loramac_rx2,LoRaMAC RX2,loramac,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x13,5,7,0,1,0,unsigned,dr_number,DR for RX2,loramac_rx2,LoRaMAC RX2,loramac,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x19,2,15,0,1,0,unsigned,loramac_net_id_msb,Net ID MSB,,,loramac,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x1A,2,15,0,1,0,unsigned,loramac_net_id_lsb,Net ID LSB,,,loramac,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x20,1,7,0,1,0,unsigned,normal_report_period,Report period in Normal mode,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x21,1,7,0,1,0,unsigned,ua_report_period,Report period in UA Mode,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x22,1,7,0,1,0,unsigned,rest_report_period,Report period in Restmode,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x23,2,15,0,1,0,unsigned,metadata_report_period,Metadata report period,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x2A,1,0,0,1,0,unsigned,enabled,Enabled,,,rest_mode_configuration,Rest Mode Configuration ,RW,,1,,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x2B,2,15,8,1,0,unsigned,gamma,Gamma,transition_parameters,Transition Parameters,rest_mode_configuration,Rest Mode Configuration ,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x2B,2,7,4,1,0,unsigned,beta,Beta,transition_parameters,Transition Parameters,rest_mode_configuration,Rest Mode Configuration ,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x2B,2,3,0,1,0,unsigned,alpha,Alpha,transition_parameters,Transition Parameters,rest_mode_configuration,Rest Mode Configuration ,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x2C,1,7,0,1,0,unsigned,transition_threshold_period,Period over which transition thresholds are checked,,,rest_mode_configuration,Rest Mode Configuration ,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x30,8,63,0,1,0,double,decay_factor,Decay Factor,,,battery_configuration,Battery Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x34,8,63,0,1,0,double,a0,A0 Coefficient,,,body_temperature_configuration,Body Temperature Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x35,8,63,0,1,0,double,a1,A1 Coefficient,,,body_temperature_configuration,Body Temperature Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x36,8,63,0,1,0,double,a2,A2 Coefficient,,,body_temperature_configuration,Body Temperature Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x3A,1,7,0,1,0,unsigned,sample_rate,Sample Rate (in Hz),,,respiratory_rate_configuration,Respiratory Rate Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x40,1,2,0,1,0,unsigned,sample_rate,Transducer sample rate,sensitivity,Sensitivity,accelerometer,Accelerometer,RW,,1,,1 Hz,1,10 Hz,2,25 Hz,3,50 Hz,4,100 Hz,5,200 Hz,6,400 Hz,7,,,,
100,0x40,1,5,4,1,0,unsigned,measurement_range,Measurement Range,sensitivity,Sensitivity,accelerometer,Accelerometer,RW,,1,,2g,0,4g,1,8g,2,16g,3,,,,,,,,,,
