port,header,data_size,bit_start,bit_end,type,cat_plus_param,parameter_name,parameter_description,group_name,group_description,category_name,category_description,access,round,multiplier,opt0,val0,opt1,val1,opt2,val2,opt3,val3,opt4,val4,opt5,val5,opt6,val6,opt7,val7,opt8,val8
100,0x00,8,0,63,hexstring,lorawan_device_eui,device_eui,DevEUI,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,
100,0x01,8,0,63,hexstring,lorawan_app_eui,app_eui,AppEUI,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,
100,0x02,16,0,127,hexstring,lorawan_app_key,app_key,AppKey,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,
100,0x03,4,0,31,hexstring,lorawan_device_address,device_address,DevAddr,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,
100,0x04,16,0,127,hexstring,lorawan_network_session_key,network_session_key,NwkSKey,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,
100,0x05,16,0,127,hexstring,lorawan_app_session_key,app_session_key,AppSKey,,,lorawan,Commissioning values,R,,1,,,,,,,,,,,,,,,,,,
100,0x10,2,7,7,unsigned,loramac_join_mode,join_mode,Join Mode,,,loramac,LoRaMAC Configuration,RW,,1,ABP,0,OTAA,1,,,,,,,,,,,,,,
100,0x11,2,0,0,unsigned,loramac_options_confirm_mode,confirm_mode,Uplink,options,LoRaMAC options,loramac,LoRaMAC Configuration,RW,,1,Unconfirmed,0,Confirmed,1,,,,,,,,,,,,,,
100,0x11,2,1,1,unsigned,loramac_options_networks,networks,Networks,options,LoRaMAC options,loramac,LoRaMAC Configuration,RW,,1,Private,0,Public,1,,,,,,,,,,,,,,
100,0x11,2,2,2,unsigned,loramac_options_duty_cycle,duty_cycle,Disable/Enable Duty Cycle,options,LoRaMAC options,loramac,LoRaMAC Configuration,RW,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x11,2,3,3,unsigned,loramac_options_adr,adr,Disable/Enable ADR,options,LoRaMAC options,loramac,LoRaMAC Configuration,RW,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x12,2,0,3,unsigned,loramac_dr_tx_power_dr_number,dr_number,Data Rate number,dr_tx_power,DR number and Tx power,loramac,LoRaMAC Configuration,RW,,1,,,,,,,,,,,,,,,,,,
100,0x12,2,8,11,unsigned,loramac_dr_tx_power_tx_power,tx_power,Transmission power,dr_tx_power,DR number and Tx power,loramac,LoRaMAC Configuration,RW,,1,,,,,,,,,,,,,,,,,,
100,0x13,5,0,31,unsigned,loramac_rx2_frequency,frequency,Channel frequeny,rx2,LoRaMAC RX2,loramac,LoRaMAC Configuration,RW,,1,,,,,,,,,,,,,,,,,,
100,0x13,5,32,39,unsigned,loramac_rx2_data_rate,data_rate,Data Rate,rx2,LoRaMAC RX2,loramac,LoRaMAC Configuration,RW,,1,,,,,,,,,,,,,,,,,,
100,0x19,2,0,15,unsigned,loramac_net_id_msb,net_id_msb,Net ID MSB,,,loramac,LoRaMAC Configuration,RW,,1,,,,,,,,,,,,,,,,,,
100,0x1A,2,0,15,unsigned,loramac_net_id_lsb,net_id_lsb,Net ID LSB,,,loramac,LoRaMAC Configuration,RW,,1,,,,,,,,,,,,,,,,,,
100,0x20,4,0,31,unsigned,ticks_core,core,Core reporting tick in seconds,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x21,2,0,15,unsigned,ticks_per_battery,per_battery,Ticks between Battery reports,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
