port,header,data_size,bit_start,bit_end,or_80_to_write,multiple,type,parameter_name,parameter_description,group_name,group_description,category_name,category_description,access,addition,round,coefficient,opt0,val0,opt1,val1,opt2,val2,opt3,val3,opt4,val4,opt5,val5,opt6,val6,opt7,val7,opt8,val8
100,0x00,8,63,0,1,0,hexstring,device_eui,DevEUI,,,lorawan,Commissioning values,R,0,,1,,,,,,,,,,,,,,,,,,
100,0x11,2,0,0,1,0,unsigned,confirm_mode,Uplink,options,LoRaMAC options,loramac,LoRaMAC Configuration,RW,,,1,Unconfirmed,0,Confirmed,1,,,,,,,,,,,,,,
100,0x11,2,1,1,1,0,unsigned,networks,Networks,options,LoRaMAC options,loramac,LoRaMAC Configuration,RW,,,1,Private,0,Public,1,,,,,,,,,,,,,,
100,0x11,,2,2,1,0,unsigned,duty_cycle,Disable/Enable Duty Cycle,options,LoRaMAC options,loramac,LoRaMAC Configuration,RW,,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x11,2,3,3,1,0,unsigned,adr,Disable/Enable ADR,options,LoRaMAC options,loramac,LoRaMAC Configuration,RW,,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x54,9,71,48,1,0,hexstring,oui,First 3 bytes of the ID,whitelist0,Whitelist 0,ble,BLE,RW,,,1,,,,,,,,,,,,,,,,,,
100,0x54,9,47,24,1,0,hexstring,lap_start,Start of last 3 bytes range,whitelist0,Whitelist 0,ble,BLE,RW,,,1,,,,,,,,,,,,,,,,,,
100,0x54,9,23,0,1,0,hexstring,lap_end,End of last 3 bytes range,whitelist0,Whitelist 0,ble,BLE,RW,,,1,,,,,,,,,,,,,,,,,,
100,0x30,8,63,0,1,0,double,decay_factor,Decay Factor,,,battery_configuration,Battery Configuration,RW,,,1,,,,,,,,,,,,,,,,,,
10,0x00 0xBA,1,6,0,,0,unsigned,level,Battery Life %,battery,,,,,2.5,2,0.01,,,,,,,,,,,,,,,,,,
10,0x00 0xBA,1,7,7,,0,unsigned,eos_alert,EoS Alert,battery,,,,,,,1,,,,,,,,,,,,,,,,,,
10,0x00 0x81,1,7,0,,0,unsigned,power_factor,Power factor,,,,,,,2,0.01,,,,,,,,,,,,,,,,,,
10,0x00 0x01,1,7,0,0,0,unsigned,relay_closed,Relay status,,,sensor_state,Sensor State,W,,,1,Open,0,Closed,255,,,,,,,,,,,,,,
10,0x00 0x93,0,0,0,0,0,unsigned,request_energy_consumption,Request Energy Consumption Data,,,sensor_state,Sensor State,R,,,1,,,,,,,,,,,,,,,,,,
10,0x0A 0x71,6,47,32,,0,signed,x,Accelerometer X,acceleration,,,,,,2,0.01,,,,,,,,,,,,,,,,,,
10,0x0A 0x71,6,31,16,,0,signed,y,Accelerometer Y,acceleration,,,,,,2,0.01,,,,,,,,,,,,,,,,,,
10,0x0A 0x71,6,15,0,,0,signed,z,Accelerometer Z,acceleration,,,,,,2,0.01,,,,,,,,,,,,,,,,,,
101,0x33,3,23,23,0,0,unsigned,epd_enable,EPD Enable,book_now_available,Book now available,book_app,Booking App,W,,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
101,0x33,3,22,22,0,0,unsigned,touch_screen_enable,Touch Screen Enable,book_now_available,Book now available,book_app,Booking App,W,,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
101,0x33,3,21,21,0,0,unsigned,next,Next or Current,book_now_available,Book now available,book_app,Booking App,W,,,1,Current,0,Next,1,,,,,,,,,,,,,,
101,0x33,3,20,20,0,0,unsigned,pm,PM,book_now_available,Book now available,book_app,Booking App,W,,,1,AM,0,PM,1,,,,,,,,,,,,,,
101,0x33,3,19,16,0,0,unsigned,hour,Hour,book_now_available,Book now available,book_app,Booking App,W,,,1,,,,,,,,,,,,,,,,,,
101,0x33,3,15,8,0,0,unsigned,minute,Minute,book_now_available,Book now available,book_app,Booking App,W,,,1,,,,,,,,,,,,,,,,,,
101,0x33,3,7,0,0,0,unsigned,string_length,String Length,book_now_available,Book now available,book_app,Booking App,W,,,1,,,,,,,,,,,,,,,,,,
101,0x33,1,7,0,0,1,string,name,Name,book_now_available,Book now available,book_app,Booking App,W,,,1,,,,,,,,,,,,,,,,,,
101,0xB3,3,23,23,0,0,unsigned,epd_enable,EPD Enable,book_now_unavailable,Book now unavailable,book_app,Booking App,W,,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
101,0xB3,3,22,22,0,0,unsigned,touch_screen_enable,Touch Screen Enable,book_now_unavailable,Book now unavailable,book_app,Booking App,W,,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
101,0xB3,3,21,21,0,0,unsigned,next,Next or Current,book_now_unavailable,Book now unavailable,book_app,Booking App,W,,,1,Current,0,Next,1,,,,,,,,,,,,,,
101,0xB3,3,20,20,0,0,unsigned,pm,PM,book_now_unavailable,Book now unavailable,book_app,Booking App,W,,,1,AM,0,PM,1,,,,,,,,,,,,,,
101,0xB3,3,19,16,0,0,unsigned,hour,Hour,book_now_unavailable,Book now unavailable,book_app,Booking App,W,,,1,,,,,,,,,,,,,,,,,,
101,0xB3,3,15,8,0,0,unsigned,minute,Minute,book_now_unavailable,Book now unavailable,book_app,Booking App,W,,,1,,,,,,,,,,,,,,,,,,
101,0xB3,3,7,0,0,0,unsigned,string_length,String Length,book_now_unavailable,Book now unavailable,book_app,Booking App,W,,,1,,,,,,,,,,,,,,,,,,
101,0xB3,1,7,0,0,1,string,name,Name,book_now_unavailable,Book now unavailable,book_app,Booking App,W,,,1,,,,,,,,,,,,,,,,,,
25,0x0A,7,55,8,,1,hexstring,id,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0x0A,7,7,0,,1,signed,rssi,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0xB0,4,31,8,,1,hexstring,id,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0xB0,4,7,0,,1,signed,rssi,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0xB1,4,31,8,,1,hexstring,id,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0xB1,4,7,0,,1,signed,rssi,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0xB2,4,31,8,,1,hexstring,id,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0xB2,4,7,0,,1,signed,rssi,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0xB3,4,31,8,,1,hexstring,id,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
25,0xB3,4,7,0,,1,signed,rssi,,devices,,,,,,,1,,,,,,,,,,,,,,,,,,
20,none,1,7,7,,0,unsigned,done,Done,byte,,,,,,,1,,,,,,,,,,,,,,,,,,
20,none,1,6,5,,0,unsigned,transaction_id,Transaction ID,byte,,,,,,,1,,,,,,,,,,,,,,,,,,
20,none,1,4,0,,0,unsigned,fragment_number,Fragment Number,byte,,,,,,,1,,,,,,,,,,,,,,,,,,
20,none,1,7,0,,1,unsigned,serial_data,Serial Data,,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x01,8,63,56,,0,unsigned,fragment_number,Fragment Number,log_utc,,,,,,,1,,,,,,,,,,,,,,,,,,
